Formula,Query Result,Total Evaluation Time
ParamProductionCell-PT-2-CTLCardinality-12,TRUE,39064
ParamProductionCell-PT-2-CTLCardinality-13,TRUE,18.653
ParamProductionCell-PT-2-CTLCardinality-14,FALSE,26495.3
ParamProductionCell-PT-2-CTLCardinality-15,FALSE,27119.1
ParamProductionCell-PT-2-CTLCardinality-1,TRUE,1843.76
ParamProductionCell-PT-2-CTLCardinality-2,FALSE,50956
ParamProductionCell-PT-2-CTLCardinality-3,FALSE,19.145
ParamProductionCell-PT-2-CTLCardinality-4,TRUE,17069.1
ParamProductionCell-PT-2-CTLCardinality-5,FALSE,17.514
ParamProductionCell-PT-2-CTLCardinality-6,FALSE,45678.7
ParamProductionCell-PT-2-CTLCardinality-7,FALSE,26.561
ParamProductionCell-PT-2-CTLCardinality-8,FALSE,18.392
ParamProductionCell-PT-4-CTLCardinality-0,FALSE,174178
ParamProductionCell-PT-4-CTLCardinality-9,FALSE,5.278
ParamProductionCell-PT-4-CTLCardinality-10,FALSE,22805.8
ParamProductionCell-PT-4-CTLCardinality-11,TRUE,433.15
ParamProductionCell-PT-4-CTLCardinality-12,FALSE,177402
ParamProductionCell-PT-4-CTLCardinality-13,TRUE,9.997
ParamProductionCell-PT-4-CTLCardinality-14,FALSE,4.219
ParamProductionCell-PT-4-CTLCardinality-15,FALSE,17.746
ParamProductionCell-PT-4-CTLCardinality-1,TRUE,52.613
ParamProductionCell-PT-4-CTLCardinality-2,FALSE,171933
ParamProductionCell-PT-4-CTLCardinality-3,TRUE,69747.2
ParamProductionCell-PT-4-CTLCardinality-4,TRUE,11.176
ParamProductionCell-PT-4-CTLCardinality-5,FALSE,9.865
ParamProductionCell-PT-4-CTLCardinality-6,FALSE,2620.74
ParamProductionCell-PT-4-CTLCardinality-7,FALSE,5.909
ParamProductionCell-PT-4-CTLCardinality-8,TRUE,332466
ParamProductionCell-PT-5-CTLCardinality-0,TRUE,12.279
ParamProductionCell-PT-5-CTLCardinality-9,FALSE,26.231
ParamProductionCell-PT-5-CTLCardinality-10,FALSE,10.001
ParamProductionCell-PT-5-CTLCardinality-11,FALSE,10.613
ParamProductionCell-PT-5-CTLCardinality-12,FALSE,11.456
ParamProductionCell-PT-5-CTLCardinality-13,FALSE,107071
ParamProductionCell-PT-5-CTLCardinality-14,TRUE,2645.97
ParamProductionCell-PT-5-CTLCardinality-15,TRUE,13962.1
ParamProductionCell-PT-5-CTLCardinality-1,TRUE,12.36
ParamProductionCell-PT-5-CTLCardinality-2,FALSE,3.563
ParamProductionCell-PT-5-CTLCardinality-3,FALSE,106948
ParamProductionCell-PT-5-CTLCardinality-4,FALSE,17971
ParamProductionCell-PT-5-CTLCardinality-5,FALSE,104644
ParamProductionCell-PT-5-CTLCardinality-6,FALSE,4526.61
ParamProductionCell-PT-5-CTLCardinality-7,TRUE,13.562
ParamProductionCell-PT-5-CTLCardinality-8,FALSE,13.027
Parking-PT-208-CTLCardinality-0,TRUE,3.176
Parking-PT-208-CTLCardinality-9,FALSE,4.045
Parking-PT-208-CTLCardinality-10,,
Parking-PT-208-CTLCardinality-11,,
Parking-PT-208-CTLCardinality-12,,
Parking-PT-208-CTLCardinality-13,,
Parking-PT-208-CTLCardinality-14,FALSE,3.736
Parking-PT-208-CTLCardinality-15,,
Parking-PT-208-CTLCardinality-1,,
Parking-PT-208-CTLCardinality-2,FALSE,3.186
Parking-PT-208-CTLCardinality-3,,
Parking-PT-208-CTLCardinality-4,,
Parking-PT-208-CTLCardinality-5,,
Parking-PT-208-CTLCardinality-6,TRUE,3.321
Parking-PT-208-CTLCardinality-7,,
Parking-PT-208-CTLCardinality-8,,
PhaseVariation-PT-D05CS100-CTLCardinality-0,FALSE,10.596
PhaseVariation-PT-D05CS100-CTLCardinality-9,TRUE,64.449
PhaseVariation-PT-D05CS100-CTLCardinality-10,FALSE,15.017
PhaseVariation-PT-D05CS100-CTLCardinality-11,FALSE,16.149
PhaseVariation-PT-D05CS100-CTLCardinality-12,FALSE,26.577
PhaseVariation-PT-D05CS100-CTLCardinality-13,FALSE,1.982
PhaseVariation-PT-D05CS100-CTLCardinality-14,,
PhaseVariation-PT-D05CS100-CTLCardinality-15,TRUE,15.042
PhaseVariation-PT-D05CS100-CTLCardinality-1,FALSE,240.752
PhaseVariation-PT-D05CS100-CTLCardinality-2,FALSE,13.222
PhaseVariation-PT-D05CS100-CTLCardinality-3,TRUE,15.634
PhaseVariation-PT-D05CS100-CTLCardinality-4,FALSE,17.255
PhaseVariation-PT-D05CS100-CTLCardinality-5,TRUE,14.966
PhaseVariation-PT-D05CS100-CTLCardinality-6,,
PhaseVariation-PT-D05CS100-CTLCardinality-7,,
PhaseVariation-PT-D05CS100-CTLCardinality-8,,
Raft-PT-03-CTLCardinality-0,,
Raft-PT-03-CTLCardinality-9,,
Raft-PT-03-CTLCardinality-10,,
Raft-PT-03-CTLCardinality-11,,
Raft-PT-03-CTLCardinality-12,,
Raft-PT-03-CTLCardinality-13,,
Raft-PT-03-CTLCardinality-14,,
Raft-PT-03-CTLCardinality-15,,
Raft-PT-03-CTLCardinality-1,,
Raft-PT-03-CTLCardinality-2,,
